Mobile,Email,Status,Last Update,Position,First Name,Last Name,Job Code
(972) 058-7816337,tbgffagels@gmail.com,In Progress,26d/07m/20 17:08,Technical Product Manager,טל,בר,JB-31225
(972) 058-7816340,goldgfkristy@gmail.com,Rejected,15d/07m/20 10:47,Technical Product Manager,כריס,גול,JB-31225
(972) 058-7816341,liarn.ffgal@gmail.com,In Progress,29d/09m/20 17:20,Technical Product Manager,ליאת,גל,JB-31225
(972) 058-7816343,lirogffn.o@gmail.com,In Progress,11d/10m/20 10:36,Technical Product Manager,לירן,עז,JB-31225
(972) 058-7816344,mgffoiz.terem@gmail.com,Rejected,22d/07m/20 12:40,Technical Product Manager,משה,טרם,JB-31225
(972) 058-7816348,norbetgffmeir@gmail.com,Rejected,06d/09m/20 14:18,Technical Product Manager,מור,בן,JB-31225
(972) 058-7816350,dorfgflif4@gmail.com,Rejected,01d/09m/20 15:48,Technical Product Manager,מורן,ליפשיץ,JB-31225
(972) 058-7816353,messi_frgffish@hotmail.com,Rejected,01d/10m/20 08:51,Technical Product Manager,מני,ממטרה,JB-31225
(972) 058-7816355,mhalibargffd1@gmail.com,Rejected,19d/07m/20 16:21,Technical Product Manager,משה,הלי,JB-31225
(972) 058-7816359,nirbentzigffony@gmail.com,In Progress,25d/08m/20 10:50,Technical Product Manager,ניר,בן,JB-31225
(972) 058-7816360,nakiv.vergffed@gmail.com,In Progress,11d/10m/20 11:30,Technical Product Manager,נתי,ורד,JB-31225
(972) 058-7816362,fazgffadi10@gmail.com,Rejected,06d/09m/20 14:17,Technical Product Manager,עדן,רז,JB-31225
(972) 058-7816364,tomer.wgffeiss@gmail.com,Rejected,15d/07m/20 10:47,Technical Product Manager,עומרי,וייסגל,JB-31225
(972) 058-7816370,levogfffer@gmail.com,Rejected,05d/10m/20 16:18,Technical Product Manager,עופר,לביא,JB-31225
(972) 058-7816376,amifgdtbsot@gmail.com,In Progress,04d/08m/20 15:23,Technical Product Manager,עמית,בן,JB-31225
(972) 058-7816379,Ebanbfgda77@gmail.com,Rejected,06d/08m/20 11:35,Technical Product Manager,ערן,בן,JB-31225
(972) 058-7816381,Beren.ingfdold@yahoo.com,Rejected,15d/07m/20 10:48,Technical Product Manager,קרן,פיין,JB-31225
(972) 058-7816384,toni.biafgdla@gmail.com,In Progress,16d/07m/20 12:39,Technical Product Manager,רוני,ביאליק,JB-31225
(972) 058-7816386,randf_yazdi@hotmail.com,In Progress,19d/07m/20 09:24,Technical Product Manager,רן,זדא,JB-31225
(972) 058-7816387,ilangrds07@gmail.com,Rejected,09d/08m/20 16:35,Head of DevOps \ senior DevOps,איל,גרוס,JB-31224
(972) 058-7816389,eliriklifdgdn@gmail.com,In Progress,13d/10m/20 16:11,Head of DevOps \ senior DevOps,אלישע,ריקול,JB-31224
(972) 058-7816390,alexfd.e8@gmail.com,Rejected,21d/09m/20 11:44,Head of DevOps \ senior DevOps,אלכס,חן,JB-31224
(972) 058-7816396,apergdfdlin@gmail.com,Rejected,06d/08m/20 16:06,Head of DevOps \ senior DevOps,אלכס,פרל,JB-31224
(972) 058-7816398,afdgdndr.zax@gmail.com,In Progress,01d/10m/20 11:36,Head of DevOps \ senior DevOps,אנדריי,אלון,JB-31224
